CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
800,France,Female,23,3,7658.723572612818,0,0,0,-14337.465430191736,0
677,France,Male,23,11,114368.45563105974,1,1,0,208711.01977435744,0
827,Germany,Female,36,3,5680.354274224295,1,0,0,221146.9407123669,0
692,France,Male,37,8,72852.34189577855,0,0,0,132765.95189352494,1
856,Spain,Female,30,8,106731.782346322,0,1,0,31771.62963564507,0
573,France,Male,59,2,101054.32477118511,1,1,0,-16727.621166710956,0
861,Spain,Male,42,7,123569.46954329604,1,1,0,96162.20216487176,0
703,Germany,Male,28,0,-4047.2476811336333,0,1,0,180418.23600436078,0
890,France,Female,44,3,-6360.864532486832,0,0,0,32697.60845585174,0
525,France,Female,39,9,163042.94015829757,1,1,0,129408.79311806597,1
603,Germany,Female,38,8,-1111.4221272578984,2,1,1,98282.31691284485,0
753,France,Male,43,7,122328.91031708408,0,1,0,91031.64138804124,0
741,France,Female,32,10,2144.2401259059297,1,1,0,165251.74275954507,0
601,France,Female,33,10,128582.42347461761,1,0,0,106088.8821359556,0
680,Spain,Male,42,10,194045.60382968426,0,0,1,190162.96046316522,0
525,France,Female,32,8,93630.08585062822,1,0,0,82699.49134066941,0
568,Spain,Female,40,0,2493.9294616692155,1,1,0,90526.94732968153,0
697,Germany,Male,28,4,118305.38141175499,0,1,0,169723.51412339963,1
687,Germany,Male,62,2,154796.44251884538,2,1,0,179141.47548453035,0
829,France,Female,41,11,90196.58781925077,1,0,1,188654.2300519951,0
741,Germany,Female,34,2,112221.16214393725,2,1,1,105815.2566071727,0
708,Spain,Male,47,7,144876.19613223587,0,1,0,74190.0567939966,0
425,Spain,Male,45,2,162319.29786636014,0,0,1,133521.72505879877,0
626,France,Male,32,2,6784.465288489982,1,0,0,75786.27128780878,1
528,Spain,Female,37,10,125420.21169239952,1,1,0,110891.73800864027,0
704,France,Male,25,7,101264.44982942958,1,0,0,210424.02207442035,0
483,Germany,Male,36,4,131831.73898923554,1,1,1,97898.14202230076,0
526,France,Male,48,10,-7544.847125259701,0,0,1,-154.2786312179087,0
561,Spain,Male,36,3,-8521.72373000187,1,1,0,17933.30699905906,1
583,Germany,Male,72,8,191406.83961854625,1,1,1,46798.46549581616,0
820,Germany,Male,31,6,440.4402646571232,2,0,1,51334.95464248474,0
674,France,Female,21,4,2995.4078494492614,2,0,0,65302.43621340648,0
626,Germany,Female,68,8,-5245.759457579715,0,1,0,188538.74668946327,0
580,Spain,Male,72,4,92586.9249387988,0,1,1,59246.87710540213,0
745,Germany,Male,30,6,-7561.014567187093,0,0,1,187574.37374835208,0
731,Spain,Male,48,5,1632.5239530308802,1,0,0,187807.9028010567,0
679,Spain,Male,21,9,99240.64041426062,1,0,1,73390.31937025135,0
604,France,Male,26,6,-2649.5916829117987,1,1,0,36072.56749299714,0
652,Spain,Male,32,7,68068.57744624009,2,0,1,31462.88787196749,0
561,Spain,Female,40,5,77925.1852738823,0,1,0,98824.75310855613,1
595,Germany,Female,33,8,153407.28820021855,1,0,0,87347.58389007504,1
764,Germany,Male,43,3,149054.37564823707,0,0,0,309.5517187512378,0
609,France,Female,46,9,159895.03395977043,0,1,0,178548.73437997632,0
832,Germany,Male,48,7,108935.00747299114,0,0,0,104366.451748283,0
914,France,Male,36,3,-2676.1058874111136,1,0,0,129617.09069108611,0
721,France,Female,47,2,192075.48314177198,2,1,0,131185.92931309273,0
770,France,Male,26,1,-4160.325963310956,1,0,0,16354.222825313453,0
809,France,Male,47,0,8262.31369991432,2,1,1,215599.23409592267,0
798,Germany,Male,25,3,4882.3642760217135,1,0,1,93605.2321467715,0
745,Spain,Male,78,5,98174.71254757085,2,1,1,195359.02600891248,0
653,Spain,Male,46,4,899.635801816873,0,0,0,215898.82937647964,0
654,France,Male,33,8,116175.1196966533,0,0,0,27621.161346047258,1
483,France,Male,45,5,128579.06079167676,0,1,0,32290.756571241916,0
755,Germany,Male,19,2,129255.38473964648,0,1,1,156930.9971525006,1
618,Germany,Female,30,8,136120.25115584914,0,0,0,180410.02858186114,0
624,France,Female,23,7,-696.8969777585185,1,1,0,91967.89858798307,0
681,Germany,Male,49,0,138622.90375269993,0,0,0,173709.51163236363,0
629,France,Female,33,7,7535.816366319179,1,1,1,88139.39528332971,0
516,France,Female,36,5,157122.55140783192,2,1,0,198028.19193396962,0
660,Germany,Male,33,8,289.7019091338946,1,1,0,194157.56115883845,0
548,Germany,Female,30,3,123220.96850331138,1,0,0,46134.39777933022,0
876,Spain,Male,32,9,103921.83344423327,1,0,0,88616.49317591512,1
760,France,Female,62,7,-3346.966544762328,1,1,0,115126.69682781525,0
563,Germany,Female,29,7,182649.61162429702,1,1,1,146033.16140649482,0
728,Spain,Female,39,10,129754.3224263134,1,0,0,180694.58201212814,0
809,Germany,Female,26,7,136113.71394652344,1,1,0,143641.59679618943,0
600,France,Male,39,3,-4061.4751050787895,0,1,1,134702.22390798046,0
670,Germany,Female,23,3,163911.52820044875,1,0,1,167703.7653040748,0
677,Spain,Male,30,9,6665.079133530961,1,1,0,180675.5389973356,0
865,Germany,Female,36,5,73988.97495956242,0,0,0,108385.20118832013,0
842,France,Male,27,10,174324.59378677877,0,1,1,135056.24829517922,0
790,Spain,Male,35,8,129529.65377808674,1,0,1,165350.3016333863,0
737,Germany,Female,41,6,173023.38748748213,1,0,0,130631.39742656157,0
566,France,Male,24,2,-330.8903755811003,1,0,1,101713.4839173441,1
764,Spain,Female,47,6,86752.29114257848,2,1,1,54811.79925452746,0
486,Spain,Female,49,8,117964.26131747215,1,1,0,132525.605264679,0
675,Germany,Male,38,8,-10716.515730760668,1,1,1,156013.08377638768,0
775,France,Female,39,2,-4103.375615960747,1,0,0,41373.08597494969,1
620,Spain,Male,15,9,92333.50494300984,1,0,0,33957.11759569227,0
729,France,Male,19,9,97674.56228077304,1,0,0,35393.64308657283,0
515,France,Male,46,4,176905.26507567623,0,1,1,212568.0458543596,0
834,Germany,Male,39,9,-1812.6208946364363,0,0,0,213129.84416368062,0
613,Germany,Male,39,3,128400.28209546609,0,0,0,182992.21833041133,0
543,France,Female,37,8,153035.05340718638,1,1,1,208313.84143382672,0
726,Spain,Male,22,1,131180.16343006934,2,1,0,134083.3044306271,0
606,Germany,Female,44,9,105937.51584633198,0,0,0,-21548.8815089951,0
663,Spain,Male,30,1,121430.17012443945,1,1,1,110890.38346871838,0
687,Germany,Male,49,4,109860.5700493865,0,1,1,128915.57065808242,0
683,France,Female,61,2,11051.236520437127,0,0,0,161963.7038751713,0
733,France,Male,32,6,171126.5465397371,0,1,0,147037.08259954327,0
635,France,Male,28,5,159596.8571276561,1,0,0,214672.8884914512,0
690,Spain,Male,50,5,134077.03916838247,0,0,0,196763.3665540675,0
585,France,Male,19,12,73045.474496643,2,1,0,188423.75778089376,0
727,Germany,Male,32,11,-1517.8075817093106,1,0,0,55374.4119383198,0
598,France,Female,40,4,117630.35240764145,0,1,0,20175.394945213884,0
553,Germany,Male,48,11,107906.83874678855,0,0,0,9934.097725766234,1
724,France,Male,24,3,92265.79661156992,0,0,0,99764.46699944166,0
568,Germany,Male,24,3,187098.2021801368,1,0,1,1737.3550057419452,0
775,France,Female,31,6,124170.03327077936,1,1,0,58129.55386442665,0
690,France,Male,45,8,5279.3653156349765,2,0,0,43278.97697106522,1
679,Spain,Female,27,7,99312.39343757585,0,1,0,75567.20390462877,1
445,Spain,Male,24,2,10189.480782891618,1,1,0,128281.8940310135,0
657,France,Male,34,10,9256.028184777611,2,1,0,86482.97648805603,0
565,Germany,Female,40,3,124223.7296457198,0,1,1,134504.39734577874,0
734,Spain,Female,69,5,91448.44837170355,1,0,0,3705.8641099995584,0
673,Germany,Male,21,2,-1297.515788027912,1,0,0,88953.53276319169,0
673,Germany,Male,41,4,106401.63368616205,0,0,0,60971.903015285105,0
691,France,Female,58,1,89445.18763313461,0,1,0,18751.731727397335,1
866,Spain,Female,30,11,142174.38002789524,0,1,0,163770.3911252685,0
450,Germany,Female,21,6,134133.89726507728,1,1,1,162212.03365763035,0
858,Germany,Female,36,9,-10345.909755277406,0,0,1,32992.566437969275,1
686,Germany,Male,32,2,-3449.0651506997647,1,1,0,186386.42780528037,0
767,France,Female,37,4,-3884.861859392017,1,0,0,-18092.6849712582,0
619,France,Male,37,1,107167.04613171585,0,0,0,19848.880753011676,0
565,France,Male,36,11,65822.95251875295,0,0,1,67865.83993342376,0
688,Germany,Male,44,11,193132.67229951365,0,0,0,159257.55307142905,0
698,Spain,Male,77,7,194267.3974269062,1,1,1,87444.69440326214,0
742,Spain,Male,31,10,90385.88634540339,2,0,0,163096.30683852,0
739,Germany,Male,39,6,-3892.827065395161,0,0,0,154907.57054149156,0
731,Spain,Female,44,10,-975.3912653093662,2,1,0,49582.69549503441,0
597,Spain,Female,36,4,67556.27191084,1,0,0,188008.6963390158,0
674,Spain,Male,24,1,164911.9611456889,1,1,0,93509.16265269255,0
850,Spain,Female,26,3,-7186.267134876504,1,0,0,133203.1729452638,0
693,Spain,Female,39,5,17260.00161603428,0,0,1,80092.25037954879,0
733,Germany,Male,45,5,187084.97489002888,1,1,0,121214.07314352457,0
600,France,Female,28,2,-536.1834208725595,1,0,1,197040.8485630691,0
700,Spain,Male,45,9,-6289.427216554901,2,1,1,78351.37073028504,0
450,Germany,Male,64,4,85709.66069112284,0,1,0,68190.19594495857,0
679,Spain,Female,24,4,63017.19302188646,1,0,0,171469.87653666653,0
771,Germany,Female,26,4,123221.8075953222,0,0,1,85476.27889481667,0
912,France,Male,28,7,5465.372513643532,0,0,0,68788.15471597094,0
760,Germany,Female,44,6,125941.46149080493,1,0,0,227666.68374724407,0
679,Germany,Female,52,2,6355.715685737069,1,0,0,37479.808559200734,0
776,Germany,Male,61,3,68735.69585231868,1,0,1,187063.97721999706,0
747,Germany,Female,46,5,6188.969826805525,0,0,0,54920.05008323138,0
671,Spain,Male,80,2,6096.269238346828,0,0,1,130235.20553501305,0
667,France,Male,25,4,88095.29465229233,0,1,0,214824.86323679122,0
865,Germany,Female,44,5,14963.172084264015,1,0,0,125545.56111637242,0
605,Germany,Female,42,4,143766.67670681002,1,0,1,206514.82855239912,0
657,France,Male,23,6,106692.63787518666,1,0,1,194801.73144228314,1
748,Spain,Male,47,10,97517.05859418256,2,0,0,30312.68846573278,1
608,France,Male,42,9,137933.53480513388,1,0,0,130103.16477103924,0
671,Spain,Male,33,5,147855.18328009627,0,0,1,148875.3873489656,0
667,France,Female,50,2,8376.348232089978,1,1,0,74761.23662899647,0
836,Germany,Male,28,2,202651.95216322,0,1,1,153097.61931304407,0
730,Spain,Female,43,1,-4180.857820289615,1,1,1,518.696423200352,0
681,France,Male,36,2,181225.71425707568,0,1,0,135180.99367459217,0
567,Germany,Male,39,10,94538.32773875698,1,1,0,37642.44194381296,0
629,Spain,Female,30,5,1347.2492182019364,0,0,0,31100.49132620963,0
786,Spain,Male,42,2,142214.2664994917,2,1,1,161902.59066942948,0
806,France,Female,34,10,99031.37891825495,2,0,0,148483.7002314053,0
692,Spain,Female,36,2,1395.0080893173226,0,0,0,93235.55139883228,0
904,Spain,Female,40,5,2945.173454098484,1,0,0,186244.8611366587,1
728,France,Female,26,7,-9603.860381977476,1,1,0,188319.25621525274,0
717,Germany,Female,38,4,133993.86005598595,0,0,0,131938.48613302122,0
830,Spain,Male,24,1,91381.97562388395,1,1,0,181336.4392036433,0
488,France,Male,35,7,-9864.34250627893,1,0,0,178580.71757290908,0
557,Spain,Female,21,10,-9420.03898759494,1,1,0,33646.86796409222,0
669,France,Male,37,11,4831.819677924583,1,0,0,106608.87733673156,0
598,Spain,Female,54,8,7186.239135076627,1,0,1,126373.03255716572,0
654,Spain,Female,37,0,-2977.142955641339,1,0,1,137146.97278961158,1
560,Spain,Male,35,6,169767.67039955227,2,1,1,184564.30663732314,0
741,France,Female,42,6,8553.634104901153,0,1,0,115180.65338621564,0
817,Germany,Male,57,0,9305.725041296755,2,1,0,13547.901736738018,0
683,Spain,Male,41,9,122219.09324613155,0,1,0,93549.27684902809,0
891,Germany,Female,20,5,157010.6826038115,0,1,0,164933.45427278272,1
